Year,State,District,Crop,Area_Hectares,Production_MT,Unit,Soil_Type,Irrigation_Type,Fertilizer_Used,Avg_Rainfall_mm,Avg_Temp_C,Weather_Condition,Seed_Variety,Pesticide_Used,Organic,Govt_Subsidy_Availed,Machinery_Used,Farming_Practice,Labor_Type,Crop_Cycle_Months,Yield_per_Hectare,Storage_Facility,Market_Access,Farmer_ID
2000,Punjab,Nancytown,Wheat,2294.19,7803.53,Metric Tonnes,Loamy,Canal,Compost,306.2,29.97,Drought,Wheat-Var-4,Yes,Yes,Yes,Combined Harvester,Modern,Family,3,3.4,Cold Storage,State,F40495
2000,Punjab,East Brandy,Wheat,1954.96,3542.36,Metric Tonnes,Peaty,Sprinkler,Urea,70.33,36.65,Coldwave,Wheat-Var-4,No,Yes,No,Combined Harvester,Modern,Family,9,1.81,Cold Storage,Export,F54597
2000,Punjab,Wilsontown,Wheat,4191.06,12221.74,Metric Tonnes,Sandy,Tube Well,DAP,57.2,39.25,Flood,Wheat-Var-2,Yes,No,Yes,Manual,Modern,Both,5,2.92,Cold Storage,Export,F80284
2000,Punjab,Torreschester,Wheat,8693.73,16732.63,Metric Tonnes,Loamy,Drip,Urea,113.64,19.59,Coldwave,Wheat-Var-5,No,Yes,Yes,Tractor,Mixed,Family,9,1.92,Warehouse,Local,F40512
2000,Punjab,West Kyle,Rice,2523.12,6432.72,Metric Tonnes,Silty,Rainfed,NPK,201.18,22.28,Flood,Rice-Var-3,No,No,Yes,Combined Harvester,Modern,Both,8,2.55,None,Local,F89840
2000,Punjab,South Shawnton,Rice,6987.75,12431.13,Metric Tonnes,Clay,Sprinkler,DAP,152.25,24.16,Drought,Rice-Var-8,No,No,Yes,Combined Harvester,Modern,Family,4,1.78,Cold Storage,National,F62581
2000,Punjab,Esparzafurt,Maize,3059.38,9393.36,Metric Tonnes,Loamy,Tube Well,Vermicompost,119.89,27.86,Flood,Maize-Var-4,No,No,No,Tractor,Modern,Family,4,3.07,None,National,F86622
2000,Punjab,Laurenfort,Maize,7566.12,12052.08,Metric Tonnes,Silty,Sprinkler,NPK,262.64,19.26,Flood,Maize-Var-4,Yes,No,Yes,Tractor,Traditional,Family,8,1.59,Cold Storage,Export,F88172
2000,Punjab,East Steven,Maize,520.49,1768.51,Metric Tonnes,Loamy,Drip,NPK,387.97,35.21,Coldwave,Maize-Var-8,No,Yes,Yes,Combined Harvester,Mixed,Hired,9,3.4,None,National,F24621
2000,Punjab,West Mary,Barley,3798.62,6439.97,Metric Tonnes,Silty,Tube Well,NPK,289.48,26.0,Normal,Barley-Var-5,Yes,Yes,No,Combined Harvester,Mixed,Both,4,1.7,Cold Storage,National,F31174
2000,Punjab,Warnerberg,Barley,1156.36,2879.75,Metric Tonnes,Peaty,Sprinkler,Urea,62.04,37.73,Coldwave,Barley-Var-6,No,Yes,Yes,Manual,Modern,Family,3,2.49,Cold Storage,Local,F21226
2000,Punjab,Dominiqueshire,Barley,1963.23,5546.21,Metric Tonnes,Silty,Canal,Vermicompost,159.1,28.0,Drought,Barley-Var-3,No,Yes,No,Combined Harvester,Mixed,Hired,4,2.83,None,State,F50857
2000,Punjab,North Stacey,Sugarcane,5969.3,11160.85,Metric Tonnes,Sandy,Drip,Vermicompost,389.35,34.38,Heatwave,Sugarcane-Var-2,Yes,Yes,Yes,Manual,Traditional,Both,7,1.87,Cold Storage,State,F10942
2000,Punjab,Lindabury,Sugarcane,5721.04,18820.23,Metric Tonnes,Loamy,Canal,DAP,259.26,38.05,Normal,Sugarcane-Var-1,No,Yes,Yes,Manual,Mixed,Hired,4,3.29,None,State,F84847
2000,Punjab,North Benjaminstad,Sugarcane,1176.34,2225.6,Metric Tonnes,Peaty,Drip,DAP,65.83,23.13,Heatwave,Sugarcane-Var-7,Yes,Yes,Yes,Combined Harvester,Modern,Hired,6,1.89,Warehouse,Export,F17100
2000,Punjab,Youngbury,Cotton,3955.17,8079.21,Metric Tonnes,Loamy,Canal,NPK,340.06,23.92,Flood,Cotton-Var-2,Yes,Yes,Yes,Combined Harvester,Modern,Family,6,2.04,Cold Storage,National,F70637
2000,Punjab,Phillipsmouth,Cotton,2312.31,5978.22,Metric Tonnes,Clay,Canal,NPK,99.32,35.05,Coldwave,Cotton-Var-2,Yes,Yes,Yes,Tractor,Traditional,Hired,6,2.59,Warehouse,State,F62565
2000,Punjab,North Melissa,Cotton,562.43,1953.74,Metric Tonnes,Loamy,Tube Well,NPK,320.29,19.97,Normal,Cotton-Var-7,No,No,No,Manual,Mixed,Both,9,3.47,None,Export,F30289
2000,Punjab,Jeffreyville,Cotton,194.09,607.68,Metric Tonnes,Clay,Rainfed,DAP,297.4,33.23,Normal,Cotton-Var-10,Yes,No,Yes,Tractor,Mixed,Hired,7,3.13,None,State,F17455
2000,Punjab,Moorebury,Millet,9428.96,15539.77,Metric Tonnes,Loamy,Tube Well,Urea,175.46,17.9,Coldwave,Millet-Var-2,Yes,No,Yes,Combined Harvester,Traditional,Both,7,1.65,Cold Storage,Local,F64948
2000,Punjab,West Thomaschester,Millet,6309.82,17330.52,Metric Tonnes,Peaty,Sprinkler,Vermicompost,165.81,16.59,Flood,Millet-Var-5,Yes,No,Yes,Manual,Modern,Family,8,2.75,None,National,F69929
2000,Punjab,New Kristinaville,Millet,3052.58,6564.16,Metric Tonnes,Sandy,Canal,Urea,305.36,30.94,Heatwave,Millet-Var-10,Yes,Yes,Yes,Combined Harvester,Modern,Family,5,2.15,Cold Storage,State,F58434
2000,Punjab,Port Jasonmouth,Millet,7282.13,17800.65,Metric Tonnes,Sandy,Tube Well,NPK,91.86,32.83,Coldwave,Millet-Var-5,Yes,No,Yes,Tractor,Modern,Family,3,2.44,None,State,F45697
2000,Haryana,Haleyport,Wheat,5847.47,15335.31,Metric Tonnes,Peaty,Tube Well,Compost,319.84,27.34,Drought,Wheat-Var-5,No,No,Yes,Tractor,Mixed,Hired,9,2.62,Warehouse,Local,F10464
2000,Haryana,Lake Edwardfort,Wheat,4540.52,10693.29,Metric Tonnes,Sandy,Tube Well,Compost,58.9,17.7,Drought,Wheat-Var-8,No,Yes,Yes,Tractor,Mixed,Family,7,2.36,Cold Storage,National,F86350
2000,Haryana,South Eileenview,Wheat,401.35,1112.87,Metric Tonnes,Peaty,Tube Well,NPK,160.02,27.71,Drought,Wheat-Var-1,No,No,Yes,Manual,Traditional,Both,4,2.77,None,Local,F56357
2000,Haryana,South Rachel,Rice,9105.22,18197.55,Metric Tonnes,Silty,Sprinkler,DAP,193.63,33.89,Drought,Rice-Var-3,Yes,No,Yes,Tractor,Mixed,Hired,9,2.0,Warehouse,State,F44970
2000,Haryana,Thomasland,Rice,2999.81,4961.56,Metric Tonnes,Clay,Canal,NPK,151.41,19.03,Normal,Rice-Var-8,Yes,Yes,No,Manual,Modern,Family,4,1.65,Cold Storage,State,F62227
2000,Haryana,Port Lisa,Rice,5978.07,18629.1,Metric Tonnes,Sandy,Rainfed,Urea,271.69,36.79,Flood,Rice-Var-6,No,No,Yes,Tractor,Modern,Family,7,3.12,Warehouse,Local,F24208
2000,Haryana,Brookemouth,Rice,8633.42,16171.61,Metric Tonnes,Peaty,Drip,Compost,362.4,28.48,Flood,Rice-Var-7,Yes,No,Yes,Manual,Traditional,Both,6,1.87,Cold Storage,State,F57739
2000,Haryana,Nguyenshire,Maize,4934.44,16245.08,Metric Tonnes,Loamy,Rainfed,Vermicompost,161.3,17.75,Flood,Maize-Var-2,No,No,No,Manual,Modern,Both,5,3.29,None,State,F35144
2000,Haryana,Bryanville,Maize,2100.38,4944.74,Metric Tonnes,Silty,Drip,DAP,336.31,36.52,Coldwave,Maize-Var-10,No,No,Yes,Manual,Modern,Family,6,2.35,None,National,F70946
2000,Haryana,Adamstown,Maize,252.06,635.57,Metric Tonnes,Silty,Drip,DAP,196.09,20.55,Coldwave,Maize-Var-8,Yes,Yes,No,Combined Harvester,Mixed,Both,7,2.52,Warehouse,Local,F40784
2000,Haryana,Jonesshire,Barley,1304.4,2837.37,Metric Tonnes,Sandy,Tube Well,DAP,380.02,23.08,Drought,Barley-Var-1,Yes,Yes,No,Combined Harvester,Traditional,Hired,6,2.18,None,State,F60328
